"iteration","null_stress"
1,0.282754359892622
2,0.29433001964084
3,0.289350964710753
4,0.294626761997016
5,0.290042343216172
6,0.289985763305026
7,0.286726263236281
8,0.29426924618597
9,0.283443368659487
10,0.291463125933083
11,0.287369589371325
12,0.293116600277887
13,0.291282284399716
14,0.291022775353444
15,0.292976917082446
16,0.288680374654068
17,0.289784220686405
18,0.289452017057961
19,0.288244395007863
20,0.291702792166261
21,0.291604602837844
22,0.294799277234882
23,0.287097132908478
24,0.286722685377037
25,0.286566262633017
26,0.289833282733938
27,0.290864332719172
28,0.287357054273514
29,0.287226999427534
30,0.284463145593881
31,0.291386815567917
32,0.28931549311428
33,0.28502735517187
34,0.290090485858673
35,0.292809948689074
36,0.29043993387032
37,0.285567443403317
38,0.279920222409719
39,0.285197407162046
40,0.291183783318722
41,0.29719261881653
42,0.294073639237067
43,0.289111881468602
44,0.284569945252663
45,0.291090229833658
46,0.285469215691694
47,0.292692101358216
48,0.292080331212963
49,0.286226109963007
50,0.292592215971819
51,0.285688444249708
52,0.292797359732634
53,0.293483986690556
54,0.294623551771329
55,0.293935156073229
56,0.288403871533701
57,0.288044779522873
58,0.287277745796404
59,0.284218780110049
60,0.291334458589253
61,0.284127069321679
62,0.288172823522232
63,0.286089881752611
64,0.289093734055189
65,0.292854179090375
66,0.276950615763589
67,0.29042159780735
68,0.278627345668652
69,0.284958293396536
70,0.292467610861191
71,0.278497112372033
72,0.290257181451826
73,0.295959948262578
74,0.285649267545246
75,0.29170971574597
76,0.28610268706089
77,0.298161618978056
78,0.288341178472668
79,0.293054235082682
80,0.287315963279063
81,0.28802931441374
82,0.289611303895199
83,0.288418349433689
84,0.287133338300713
85,0.27997180021545
86,0.294163667885861
87,0.294394933184536
88,0.289525969402394
89,0.288547573536044
90,0.290807942350995
91,0.292118507829328
92,0.289595186225566
93,0.293672783853541
94,0.28779098440225
95,0.282726924281854
96,0.287980578457612
97,0.294011741292405
98,0.285668137058783
99,0.283484959960539
100,0.289259792894412
101,0.288810281014011
102,0.284090353424625
103,0.296372577212357
104,0.285257095444923
105,0.290783243552197
106,0.285245850510404
107,0.296254681189069
108,0.287971026591274
109,0.28366501585575
110,0.285593736371305
111,0.28424608301311
112,0.288042820789766
113,0.28927986610953
114,0.286754467960807
115,0.286084035021638
116,0.287753747000663
117,0.286951784230294
118,0.288354325556992
119,0.284531426415282
120,0.285712664001327
121,0.289850419433388
122,0.285834239070528
123,0.285691080150375
124,0.284911799260899
125,0.290964691357567
126,0.291785676922187
127,0.287351378277906
128,0.287476903045186
129,0.287823186090344
130,0.288106630890814
131,0.295074423616864
132,0.2894906675964
133,0.295542975677707
134,0.292814655298497
135,0.296046320108231
136,0.289135764280679
137,0.286579484444455
138,0.286508964710854
139,0.287937602168222
140,0.295511063335916
141,0.286412324113592
142,0.285937150270238
143,0.281234698423056
144,0.289177856934746
145,0.285784497057212
146,0.292012953161019
147,0.29447510618734
148,0.292840271731279
149,0.28949421962889
150,0.277389132154998
151,0.286031890369818
152,0.280693048145862
153,0.287774318113009
154,0.29097328420975
155,0.289251870873262
156,0.279249812614822
157,0.287443304861494
158,0.28455309744939
159,0.285469798723443
160,0.283667852632438
161,0.295502523366571
162,0.281354266384773
163,0.286266893972017
164,0.284326972815236
165,0.283537767976571
166,0.293982108152855
167,0.283574441003762
168,0.285503604775708
169,0.287766306484977
170,0.287825480067951
171,0.284997804560307
172,0.292117271617767
173,0.289070824881047
174,0.287247909677228
175,0.295915388170925
176,0.290999569574934
177,0.286763196277854
178,0.28584741208963
179,0.289168713783052
180,0.288539512286694
181,0.286570326359027
182,0.291076125529835
183,0.294857006089074
184,0.292611728717086
185,0.289327368656943
186,0.291679008260746
187,0.285903263563672
188,0.291180704127964
189,0.288268470288116
190,0.288574359515432
191,0.289505241420851
192,0.29544744122522
