"iteration","main_clust_null_stress"
1,0.277415780896102
2,0.28560264758442
3,0.298902313416061
4,0.277271216578505
5,0.286281988330361
6,0.294553427603174
7,0.287451547921906
8,0.280492926542447
9,0.282367007619158
10,0.276088413602375
11,0.289328387044208
12,0.28493629050902
13,0.290831893266474
14,0.285286257443021
15,0.283136916698164
16,0.280683261927136
17,0.285301720621467
18,0.291495612178755
19,0.271710320890382
20,0.281570229185197
21,0.281272537736308
22,0.283645823692327
23,0.28146779395808
24,0.278640755959943
25,0.281736111329827
26,0.286042280627428
27,0.288746766231652
28,0.280146519860422
29,0.284949745769345
30,0.28531454378394
31,0.287600930584515
32,0.283024630854968
33,0.288822259601688
34,0.280578092645024
35,0.281643366916249
36,0.277688248043175
37,0.290346738725631
38,0.28332351661922
39,0.277152358284436
40,0.283279873132254
41,0.280940141629549
42,0.274157992494055
43,0.287903042635263
44,0.283162654461445
45,0.282105602945368
46,0.283167442444274
47,0.284443771365238
48,0.28649073293668
49,0.284996228963699
50,0.283324710831926
51,0.284652998923201
52,0.283980551165589
53,0.287473263608468
54,0.282579977733926
55,0.278445013199648
56,0.292983716109687
57,0.282396627715304
58,0.285565284216903
59,0.292709609020068
60,0.285240463474405
61,0.285668735942384
62,0.281003625788423
63,0.289204306194233
64,0.285978931760968
65,0.284683752313447
66,0.286236452109485
67,0.281775707515574
68,0.285190309685626
69,0.281046013071957
70,0.274636784560434
71,0.287813399014926
72,0.285792190715132
73,0.289421743450193
74,0.283842896384734
75,0.285799936923432
76,0.276965403680915
77,0.284676479095563
78,0.283249961279623
79,0.290650900068184
80,0.274866536670902
81,0.278651034678491
82,0.278460070536326
83,0.291346706600063
84,0.287068614746306
85,0.277960164670623
86,0.278433550973566
87,0.280535016408169
88,0.288968747266895
89,0.288481338096282
90,0.288051633142121
91,0.28834056909094
92,0.289496024017629
93,0.286705277746193
94,0.285783608121773
95,0.293238618928619
96,0.287209562011169
97,0.286381783587768
98,0.28567891260316
99,0.290394542782082
100,0.289784230637996
101,0.283988592756726
102,0.288604015330681
103,0.284071842199718
104,0.284634039820428
105,0.278807340131064
106,0.284168164258952
107,0.286131296432451
108,0.278000939157765
109,0.291363773006256
110,0.283314173736486
111,0.279043436456104
112,0.288292804776047
113,0.288862319878226
114,0.281611675028182
115,0.283276995800472
116,0.282140244008721
117,0.290432003602506
118,0.285319291316192
119,0.290883525126604
120,0.287821428974105
121,0.278044716085089
122,0.288723259719991
123,0.284123256733025
124,0.291111067195228
125,0.283672385521245
126,0.289263569414991
127,0.290493192508214
128,0.293941824720629
129,0.282203831703857
130,0.289697154751914
131,0.281674933720042
132,0.29085391899907
133,0.284868447638268
134,0.28553993640914
135,0.281738257814341
136,0.281068224043308
137,0.282886083121141
138,0.283368090615981
139,0.285339205904332
140,0.282190545419585
141,0.285817350961639
142,0.289162464991264
143,0.286413767944147
144,0.288906621318067
145,0.286495972769102
146,0.284837986256999
147,0.280514176444901
148,0.280886502735515
149,0.288161947940816
150,0.280244539471775
151,0.283872174055479
152,0.288640379742571
153,0.282674152101699
154,0.29041212571222
155,0.287460264545736
156,0.282959408004676
157,0.27619817417005
158,0.279523011851471
159,0.281891459300133
160,0.282185052928282
161,0.283901678262065
162,0.284017788004164
163,0.28978388090521
164,0.286226214506924
165,0.280725671588106
166,0.281918375374718
167,0.281262847409703
168,0.285390461991499
169,0.286728773016491
170,0.292087128237875
171,0.277823558941081
172,0.288990707204793
173,0.284166940420146
174,0.283080774722627
175,0.277960316816113
176,0.288196290047201
177,0.277433890449676
178,0.28860516610467
179,0.289551636745623
180,0.279651405965304
181,0.290475390775905
182,0.28028998727312
183,0.286121931547341
184,0.281232804918877
185,0.276034409309798
186,0.277899705015335
187,0.273549429093124
188,0.284762014983575
189,0.283941149521097
190,0.286026705104182
191,0.29065019129459
192,0.286425877194971
193,0.289723365417795
194,0.284746188177376
195,0.280562456089485
196,0.283845638966308
197,0.29278686753241
198,0.286399178802193
199,0.281056886649993
200,0.289512833631108
201,0.284352602758193
202,0.286598341611662
203,0.28813462255204
204,0.288190115007545
205,0.278287889093024
206,0.283698751604734
207,0.283245026910739
208,0.287028599224286
209,0.283486131859002
210,0.275418036534047
211,0.280239847704261
212,0.282490734968077
213,0.28352440810391
214,0.282646659226296
215,0.281737739708521
216,0.283712303877309
217,0.289349499274646
218,0.292900557130589
219,0.290597358036927
220,0.285901221990633
221,0.288641386073071
222,0.278440896804912
223,0.285081663053745
224,0.279178649724658
225,0.284864090329175
226,0.28636714732101
227,0.281668448089625
228,0.287391623230736
229,0.27800706067363
230,0.283180655732974
231,0.279983957699816
232,0.281385259334148
233,0.271951174906077
234,0.277498031678354
235,0.285711628510935
236,0.289179540601821
237,0.292949891641078
238,0.289552148529414
239,0.285736299892463
240,0.281648206204005
241,0.283954106077737
242,0.281544060712163
243,0.283497598858741
244,0.284992112723939
245,0.280028065851296
246,0.28435479115599
247,0.283975694982053
248,0.279300718537434
249,0.282769901304575
250,0.287402619370642
251,0.28494689709073
252,0.291792475031363
253,0.282261148268071
254,0.293031429875951
255,0.284243515081309
256,0.27947490767382
257,0.287717180473705
258,0.282775494701366
